,FISCAL_YEAR,FISCAL_PERIOD,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESCR,TRANS_DT,MERCHANDISE_AMT
13189,2019,10,DEPT OF EDUCATION,Special Needs Programs,STAPLS0173774771000001,Stationery-Office Supplies-Printing Writing Pap,4/3/2019,158.34
13190,2019,10,DEPT OF EDUCATION,Special Needs Programs,NCS*GED EXAM,Schools Educational Svc-Not Elsewhere Classified,4/26/2019,600.0
13191,2019,10,DEPT OF EDUCATION,Special Needs Programs,RIO GRANDE BREW PUB,Fast Food Restaurants,3/28/2019,11.7
13192,2019,10,DEPT OF EDUCATION,Special Needs Programs,UBR PENDING.UBER.COM,Travel,3/27/2019,2.0
13193,2019,10,DEPT OF EDUCATION,Special Needs Programs,AWL*PEARSON EDUCATION,Books Periodicals And Newspapers,4/20/2019,246.0
13194,2019,10,DEPT OF EDUCATION,Special Needs Programs,EINSTEIN BAGELS SD,Fast Food Restaurants,3/29/2019,10.15
13195,2019,10,DEPT OF EDUCATION,Special Needs Programs,NCS*GED EXAM,Schools Educational Svc-Not Elsewhere Classified,4/12/2019,2050.0
13196,2019,10,DEPT OF EDUCATION,Special Needs Programs,HILTON HOTELS,Lodging,4/9/2019,62.54
13197,2019,10,DEPT OF EDUCATION,Special Needs Programs,REDNERS MKTS #13,Grocery Stores Supermarkets,4/26/2019,60.7
13198,2019,10,DEPT OF EDUCATION,Special Needs Programs,HILTON HOTELS,Lodging,4/11/2019,176.95
13199,2019,10,DEPT OF EDUCATION,Special Needs Programs,SHOPRITE CHRSTNLNDG S1,Grocery Stores Supermarkets,4/12/2019,75.72
13200,2019,10,DEPT OF EDUCATION,Special Needs Programs,HOMEDEPOT.COM,Home Supply Warehouse Stores,4/5/2019,55.0
13201,2019,10,DEPT OF EDUCATION,Special Needs Programs,REDNERS MKTS #57,Grocery Stores Supermarkets,4/14/2019,46.59
13202,2019,10,DEPT OF EDUCATION,Special Needs Programs,AWL*PEARSON EDUCATION,Books Periodicals And Newspapers,4/20/2019,3280.0
13203,2019,10,DEPT OF EDUCATION,Special Needs Programs,AIR CANADA 0147345969642,Airline,4/1/2019,535.53
13204,2019,10,DEPT OF EDUCATION,Special Needs Programs,HILTON HOTELS,Lodging,4/19/2019,11.52
13205,2019,10,DEPT OF EDUCATION,Special Needs Programs,SAMS CLUB #6330,Wholesale Clubs,4/26/2019,127.34
13206,2019,10,DEPT OF EDUCATION,Special Needs Programs,SHOPRITE CHRSTNLNDG S1,Grocery Stores Supermarkets,4/23/2019,66.41
13207,2019,10,DEPT OF EDUCATION,Special Needs Programs,UBER TRIP,Travel,3/27/2019,12.87
13208,2019,10,DEPT OF EDUCATION,Special Needs Programs,STOCKLEY MATERIALS,Building Materials Lumber Stores,3/28/2019,209.0
13209,2019,10,DEPT OF EDUCATION,Special Needs Programs,BGR THE BURGER JOINT,Fast Food Restaurants,3/27/2019,11.64
13210,2019,10,DEPT OF EDUCATION,Special Needs Programs,SHOPRITE CHRSTNLNDG S1,Grocery Stores Supermarkets,4/1/2019,93.19
13211,2019,10,DEPT OF EDUCATION,Special Needs Programs,NCS*GED EXAM,Schools Educational Svc-Not Elsewhere Classified,4/11/2019,200.0
13212,2019,10,DEPT OF EDUCATION,Special Needs Programs,HOMEDEPOT.COM,Home Supply Warehouse Stores,4/5/2019,259.99
13213,2019,10,DEPT OF EDUCATION,Special Needs Programs,OYAMEL,Eating Places Restaurants,4/8/2019,34.45
13214,2019,10,DEPT OF EDUCATION,Special Needs Programs,UBR PENDING.UBER.COM,Travel,3/29/2019,2.0
13215,2019,10,DEPT OF EDUCATION,Special Needs Programs,UBER TRIP,Travel,3/29/2019,12.28
13216,2019,10,DEPT OF EDUCATION,Special Needs Programs,VOLCANO RABBIT,Eating Places Restaurants,3/28/2019,26.74
13217,2019,10,DEPT OF EDUCATION,Special Needs Programs,32753 - BWI LONG TERM B,Automobile Parking Lots And Garages,3/30/2019,24.0
13218,2019,10,DEPT OF EDUCATION,Special Needs Programs,NTLREST SERVSAFE,Business Services-Not Elsewhere Classified,4/4/2019,22.59
13219,2019,10,DEPT OF EDUCATION,Special Needs Programs,REDNERS MKTS #13,Grocery Stores Supermarkets,4/3/2019,39.17
13220,2019,10,DEPT OF EDUCATION,Special Needs Programs,SAMSCLUB #6330,Wholesale Clubs,4/4/2019,182.1
13221,2019,10,DEPT OF EDUCATION,Special Needs Programs,DELTA AIR 0067314820153,Airline,4/3/2019,217.6
13222,2019,10,DEPT OF EDUCATION,Special Needs Programs,NTLREST SERVSAFE,Business Services-Not Elsewhere Classified,4/4/2019,280.0
13223,2019,10,DEPT OF EDUCATION,Special Needs Programs,WAL-MART #1741,Grocery Stores Supermarkets,4/7/2019,25.92
13224,2019,10,DEPT OF EDUCATION,Special Needs Programs,SHOPRITE CHRSTNLNDG S1,Grocery Stores Supermarkets,4/5/2019,48.66
13225,2019,10,DEPT OF EDUCATION,Special Needs Programs,RESTAURANT DEPOT,Grocery Stores Supermarkets,4/26/2019,108.86
13226,2019,10,DEPT OF EDUCATION,ADVISORY COUNCIL,COMCAST,Cable Satellite Other Pay Television Radio Svcs,3/28/2019,117.24
13227,2019,10,DEPT OF EDUCATION,ADVISORY COUNCIL,COMCAST,Cable Satellite Other Pay Television Radio Svcs,4/28/2019,117.24
13228,2019,11,DEPT OF EDUCATION,Operations Support,CHEGG ORDER,Book Stores,5/19/2019,90.98
13229,2019,11,DEPT OF EDUCATION,Office of the Secretary,CORRECTIONAL COUNSELING O,Book Stores,5/6/2019,1500.0
13230,2019,11,DEPT OF EDUCATION,Office of the Secretary,WASHINGTON PLAZA HOTEL,Lodging,5/2/2019,577.04
13231,2019,11,DEPT OF EDUCATION,Office of the Secretary,TST* JEALOUS MONK - MYSTI,Eating Places Restaurants,5/17/2019,21.7
13232,2019,11,DEPT OF EDUCATION,Office of the Secretary,AMERICAN AIR0010289338218,Airline,5/5/2019,30.0
13233,2019,11,DEPT OF EDUCATION,Office of the Secretary,UBER TRIP,Travel,4/30/2019,2.0
13234,2019,11,DEPT OF EDUCATION,Office of the Secretary,UBER TRIP,Travel,4/30/2019,12.35
13235,2019,11,DEPT OF EDUCATION,Office of the Secretary,SMARTPARK,Automobile Parking Lots And Garages,5/11/2019,57.81
13236,2019,11,DEPT OF EDUCATION,Office of the Secretary,SQ *THE ITALIANS KITCHEN,Eating Places Restaurants,5/8/2019,15.35
13237,2019,11,DEPT OF EDUCATION,Office of the Secretary,MARRIOTT HOTEL AND SPA,Lodging,5/17/2019,2.92
13238,2019,11,DEPT OF EDUCATION,Office of the Secretary,MARRIOTT HOTEL AND SPA,Lodging,5/17/2019,2.92
13239,2019,11,DEPT OF EDUCATION,Office of the Secretary,MYSTIC MARRIOTT HOTEL,Lodging,5/18/2019,333.5
13240,2019,11,DEPT OF EDUCATION,Office of the Secretary,MYSTIC MARRIOTT HOTEL,Lodging,5/18/2019,-2.92
13241,2019,11,DEPT OF EDUCATION,Office of the Secretary,AMERICAN AIR0010289412277,Airline,5/6/2019,30.0
13242,2019,11,DEPT OF EDUCATION,Office of the Secretary,LEHIGH UNIVERSITY 1,Colleges Univ Pro Schools Junior Colleges,5/8/2019,1180.0
13243,2019,11,DEPT OF EDUCATION,Office of the Secretary,TST* JEALOUS MONK - MYSTI,Eating Places Restaurants,5/17/2019,40.03
13244,2019,11,DEPT OF EDUCATION,Office of the Secretary,HYATT REG NEW ORLNS F And B,Eating Places Restaurants,5/3/2019,6.34
13245,2019,11,DEPT OF EDUCATION,Office of the Secretary,HYATT REG NEW ORLNS F And B,Eating Places Restaurants,5/2/2019,5.78
13246,2019,11,DEPT OF EDUCATION,Office of the Secretary,HYATT REG NEW ORLNS F And B,Eating Places Restaurants,5/2/2019,16.54
13247,2019,11,DEPT OF EDUCATION,Office of the Secretary,LEHIGH UNIVERSITY 1,Colleges Univ Pro Schools Junior Colleges,5/1/2019,1200.0
13248,2019,11,DEPT OF EDUCATION,Office of the Secretary,CVS/PHARMACY #01341,Drug Stores Pharmacies,5/1/2019,3.01
13249,2019,11,DEPT OF EDUCATION,Office of the Secretary,HYATT REG NEW ORLNS F And B,Eating Places Restaurants,4/30/2019,20.48
13250,2019,11,DEPT OF EDUCATION,Office of the Secretary,AIRPORT SHUTTLE,Travel,4/30/2019,44.0
13251,2019,11,DEPT OF EDUCATION,Office of the Secretary,WPA TRAIN STATION,Automobile Parking Lots And Garages,4/30/2019,12.0
13252,2019,11,DEPT OF EDUCATION,Office of the Secretary,STAYBRIDGE SUITES NEW OR,Lodging,5/3/2019,708.03
13253,2019,11,DEPT OF EDUCATION,Office of the Secretary,PARK N JET ESSINGTON,Automobile Parking Lots And Garages,4/28/2019,35.17
13254,2019,11,DEPT OF EDUCATION,Office of the Secretary,AMERICAN AIR0017318916778,Airline,4/28/2019,714.6
13255,2019,11,DEPT OF EDUCATION,Office of the Secretary,DOLLAR TREE INC.,Miscellaneous General Merchandise,5/12/2019,1344.0
13256,2019,11,DEPT OF EDUCATION,Office of the Secretary,BAR LOUIE CHARLOTTE,Eating Places Restaurants,5/6/2019,32.69
13257,2019,11,DEPT OF EDUCATION,Office of the Secretary,OMNI SHOREHAM,Lodging,5/10/2019,572.46
13258,2019,11,DEPT OF EDUCATION,Office of the Secretary,NEWKS EATERY - ANNAPOLIS,Eating Places Restaurants,5/10/2019,14.29
13259,2019,11,DEPT OF EDUCATION,Office of the Secretary,WOODLEY CAFE,Eating Places Restaurants,5/9/2019,27.74
13260,2019,11,DEPT OF EDUCATION,Office of the Secretary,MORSELS OMNI SHOREHAM,Eating Places Restaurants,5/9/2019,12.1
13261,2019,11,DEPT OF EDUCATION,Office of the Secretary,MORSELS OMNI SHOREHAM,Eating Places Restaurants,5/10/2019,8.53
13262,2019,11,DEPT OF EDUCATION,Office of the Secretary,GAYLORD PALMS HOTEL FL,Lodging,5/9/2019,855.33
13263,2019,11,DEPT OF EDUCATION,Office of the Secretary,PANERA BREAD #601662 P,Fast Food Restaurants,5/17/2019,12.83
13264,2019,11,DEPT OF EDUCATION,Office of the Secretary,FIVE GUYS # 1854,Fast Food Restaurants,5/6/2019,17.17
13265,2019,11,DEPT OF EDUCATION,Office of the Secretary,IHOP #36-101,Eating Places Restaurants,5/7/2019,18.31
13266,2019,11,DEPT OF EDUCATION,Office of the Secretary,GAYLORD PALMS HOTEL FL,Lodging,5/9/2019,65.61
13267,2019,11,DEPT OF EDUCATION,Office of the Secretary,KIOSKS - 87,Fast Food Restaurants,5/5/2019,16.06
13268,2019,11,DEPT OF EDUCATION,Office of the Secretary,KENT-SUSSEX INDUSTRIES IN,Organizations Charitable And Social Services,5/1/2019,175.9
13269,2019,11,DEPT OF EDUCATION,Office of the Secretary,HYATT REG NEW ORLNS F And B,Eating Places Restaurants,5/1/2019,11.57
13270,2019,11,DEPT OF EDUCATION,Office of the Secretary,MORSELS OMNI SHOREHAM,Eating Places Restaurants,5/9/2019,11.55
13271,2019,11,DEPT OF EDUCATION,Office of the Secretary,32752 - BWI LONG TERM A,Automobile Parking Lots And Garages,5/4/2019,39.0
13272,2019,11,DEPT OF EDUCATION,Office of the Secretary,AMZN MKTP US*MN00290A2,Book Stores,5/16/2019,79.98
13273,2019,11,DEPT OF EDUCATION,Office of the Secretary,PALACE CAFE - NEW ORLEANS,Eating Places Restaurants,5/3/2019,16.57
13274,2019,11,DEPT OF EDUCATION,Office of the Secretary,MYSTIC MARRIOTT HOTEL,Lodging,5/18/2019,333.5
13275,2019,11,DEPT OF EDUCATION,Office of the Secretary,HYATT REGENCY NEW ORLNS,Lodging,5/4/2019,864.48
13276,2019,11,DEPT OF EDUCATION,Office of the Secretary,CORRECTIONAL COUNSELING O,Book Stores,5/6/2019,54.78
13277,2019,11,DEPT OF EDUCATION,Office of the Secretary,UPS*000021X956,Courier Svc-Air Ground Freight Forwarders,5/5/2019,10.15
13278,2019,11,DEPT OF EDUCATION,Office of the Secretary,ZAPATAS MEXICAN RESTAURAN,Eating Places Restaurants,5/7/2019,18.0
13279,2019,11,DEPT OF EDUCATION,Office of the Secretary,UBER TRIP,Travel,4/30/2019,12.53
13280,2019,11,DEPT OF EDUCATION,Office of the Secretary,OMNI SHOREHAM,Lodging,5/10/2019,110.0
13281,2019,11,DEPT OF EDUCATION,Office of the Secretary,VZWRLSS*IVR VB,Telecom Incl Prepaid-Recurring Phone Svcs,5/17/2019,280.07
13282,2019,11,DEPT OF EDUCATION,Office of the Secretary,UPS*000021X956,Courier Svc-Air Ground Freight Forwarders,5/26/2019,31.4
13283,2019,11,DEPT OF EDUCATION,Office of the Secretary,SQ *CHEF SANDWICH,Eating Places Restaurants,5/3/2019,7.64
13284,2019,11,DEPT OF EDUCATION,Office of the Secretary,WASHINGTON PLAZA HOTEL,Lodging,5/2/2019,70.8
13285,2019,11,DEPT OF EDUCATION,Office of the Secretary,THE MARINER,Eating Places Restaurants,5/16/2019,50.97
13286,2019,11,DEPT OF EDUCATION,Office of the Secretary,THE MARINER,Eating Places Restaurants,5/16/2019,32.02
13287,2019,11,DEPT OF EDUCATION,Office of the Secretary,HYATT REG NEW ORLNS F And B,Eating Places Restaurants,5/1/2019,18.98
13288,2019,11,DEPT OF EDUCATION,Office of the Secretary,UBER TRIP,Travel,4/30/2019,2.0
13289,2019,11,DEPT OF EDUCATION,Office of the Secretary,MCDONALD'S F31413,Fast Food Restaurants,4/30/2019,8.05
13290,2019,11,DEPT OF EDUCATION,Office of the Secretary,PANERA BREAD #601662 P,Fast Food Restaurants,5/17/2019,10.08
13291,2019,11,DEPT OF EDUCATION,Office of the Secretary,AMERICAN AIR0010289913808,Airline,5/11/2019,30.0
13292,2019,11,DEPT OF EDUCATION,Office of the Secretary,TGI FRIDAYS #1887,Eating Places Restaurants,5/14/2019,690.84
13293,2019,11,DEPT OF EDUCATION,Academic Support,ORGANIZATIONAL SERVICE,Business Services-Not Elsewhere Classified,5/15/2019,625.0
13294,2019,11,DEPT OF EDUCATION,Academic Support,HILTON HOTEL CRYSTAL CIT,Lodging,5/1/2019,257.08
13295,2019,11,DEPT OF EDUCATION,Academic Support,AMERICAN AIR0017323166885,Airline,5/23/2019,203.3
13296,2019,11,DEPT OF EDUCATION,Academic Support,DOVER TENTS AND EVENTS,Recreation Services Not Elsewhere Classified,5/9/2019,297.32
13297,2019,11,DEPT OF EDUCATION,Academic Support,HILTON HOTEL CRYSTAL CIT,Lodging,5/1/2019,13.0
13298,2019,11,DEPT OF EDUCATION,Academic Support,UNITED 0167323160029,Airline,5/23/2019,203.3
13299,2019,11,DEPT OF EDUCATION,Academic Support,SOUTHWES 5262476142418,Airline,5/15/2019,235.96
13300,2019,11,DEPT OF EDUCATION,Academic Support,NCCEP,Business Services-Not Elsewhere Classified,5/20/2019,1100.0
13301,2019,11,DEPT OF EDUCATION,Academic Support,EXPEDIA 7437138298027,Travel,5/23/2019,3.52
13302,2019,11,DEPT OF EDUCATION,Academic Support,AMERICAN AIR0012355984782,Airline,5/22/2019,654.6
13303,2019,11,DEPT OF EDUCATION,Student Support,SOUTHWES 5262476774892,Airline,5/17/2019,405.96
13304,2019,11,DEPT OF EDUCATION,Student Support,SCHOOL NUTRITION ASSOC,Organizations Membership-Not Elsewhere Classified,5/17/2019,873.0
13305,2019,11,DEPT OF EDUCATION,Student Support,ADACDR WEBSITE,Organizations Membership-Not Elsewhere Classified,5/24/2019,264.0
13306,2019,11,DEPT OF EDUCATION,Student Support,ALS SPORTING GOODS,Sporting Goods Stores,5/23/2019,60.0
13307,2019,11,DEPT OF EDUCATION,Student Support,SPNSH SLTNS,Professional Services-Not Elsewhere Classified,5/23/2019,15.13
13308,2019,11,DEPT OF EDUCATION,Educator Support,USPS PO 0917600901,Postal Services-Government Only,5/7/2019,48.25
13309,2019,11,DEPT OF EDUCATION,Educator Support,USPS PO 0917600901,Postal Services-Government Only,5/23/2019,27.4
13310,2019,11,DEPT OF EDUCATION,Educator Support,USPS PO 0917600901,Postal Services-Government Only,5/14/2019,6.85
13311,2019,11,DEPT OF EDUCATION,Educator Support,XEROX CORPORATION/RBO,Office Photographic Photocopy Microfilm Equipmt,5/9/2019,263.66
13312,2019,11,DEPT OF EDUCATION,Educator Support,STAPLS0174493435000001,Stationery-Office Supplies-Printing Writing Pap,5/15/2019,45.23
13313,2019,11,DEPT OF EDUCATION,Educator Support,USPS PO 0917600901,Postal Services-Government Only,5/21/2019,6.85
13314,2019,11,DEPT OF EDUCATION,Educator Support,STAPLS0174493259000001,Stationery-Office Supplies-Printing Writing Pap,5/2/2019,64.39
13315,2019,11,DEPT OF EDUCATION,Operations Support,STAPLS0174509650000001,Stationery-Office Supplies-Printing Writing Pap,5/2/2019,125.35
13316,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/25/2019,7395.8
13317,2019,11,DEPT OF EDUCATION,Operations Support,JETBRAINS AMERICAS INC,Applications - Excludes Games,5/15/2019,895.0
13318,2019,11,DEPT OF EDUCATION,Operations Support,UNITED 0167357803866,Airline,5/6/2019,313.6
13319,2019,11,DEPT OF EDUCATION,Operations Support,WB MASON,Stationery-Office Supplies-Printing Writing Pap,5/1/2019,144.72
13320,2019,11,DEPT OF EDUCATION,Operations Support,SWA*EARLYBRD5269839183796,Airline,5/15/2019,20.0
13321,2019,11,DEPT OF EDUCATION,Operations Support,SWA*EARLYBRD5269839183797,Airline,5/15/2019,20.0
13322,2019,11,DEPT OF EDUCATION,Operations Support,TRID1054013,Computer Software Stores,5/26/2019,12.0
13323,2019,11,DEPT OF EDUCATION,Operations Support,UNITED 0167398297090,Airline,4/29/2019,585.99
13324,2019,11,DEPT OF EDUCATION,Operations Support,USPS PO 0944000963,Postal Services-Government Only,5/3/2019,15.2
13325,2019,11,DEPT OF EDUCATION,Operations Support,USPS PO 0944000963,Postal Services-Government Only,5/14/2019,15.2
13326,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/15/2019,15.67
13327,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/15/2019,7765.59
13328,2019,11,DEPT OF EDUCATION,Operations Support,STAPLS0174714308000001,Stationery-Office Supplies-Printing Writing Pap,5/10/2019,522.14
13329,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/16/2019,199.47
13330,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/15/2019,2218.74
13331,2019,11,DEPT OF EDUCATION,Operations Support,ARCANA DEVELOPMENT LLC,Consulting Management And Public Relations Svcs,5/22/2019,137.0
13332,2019,11,DEPT OF EDUCATION,Operations Support,INTERNATIONAL TRANSACTION,Internal Transaction,5/20/2019,0.45
13333,2019,11,DEPT OF EDUCATION,Operations Support,STAPLS0174982090000002,Stationery-Office Supplies-Printing Writing Pap,5/22/2019,24.72
13334,2019,11,DEPT OF EDUCATION,Operations Support,FRAUD CREDIT,Book Stores,5/25/2019,-90.98
13335,2019,11,DEPT OF EDUCATION,Operations Support,EASTERN SHORE COFFEE And WA,Business Services-Not Elsewhere Classified,5/7/2019,384.0
13336,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/15/2019,890.63
13337,2019,11,DEPT OF EDUCATION,Operations Support,STAPLS0174982090000001,Stationery-Office Supplies-Printing Writing Pap,5/22/2019,1172.87
13338,2019,11,DEPT OF EDUCATION,Operations Support,HCGI,Computers Computer Peripheral Equipment Software,5/21/2019,1104.0
13339,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/15/2019,4421.81
13340,2019,11,DEPT OF EDUCATION,Operations Support,NASDTEC,Organizations Membership-Not Elsewhere Classified,5/20/2019,485.0
13341,2019,11,DEPT OF EDUCATION,Operations Support,WP ENGINE,Comp Programing Data Prcsng Intgrtd Sys Dsgn Srvs,5/22/2019,8280.0
13342,2019,11,DEPT OF EDUCATION,Operations Support,SCREENCLOUD,Comp Programing Data Prcsng Intgrtd Sys Dsgn Srvs,5/20/2019,30.0
13343,2019,11,DEPT OF EDUCATION,Operations Support,HCGI,Computers Computer Peripheral Equipment Software,5/20/2019,118.0
13344,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/21/2019,244.17
13345,2019,11,DEPT OF EDUCATION,Operations Support,WB MASON,Stationery-Office Supplies-Printing Writing Pap,5/23/2019,289.44
13346,2019,11,DEPT OF EDUCATION,Operations Support,STK*SHUTTERSTOCK,Commercial Art Graphics Photography,5/9/2019,35.0
13347,2019,11,DEPT OF EDUCATION,Operations Support,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,5/15/2019,5026.01
13348,2019,11,DEPT OF EDUCATION,Operations Support,WB MASON,Stationery-Office Supplies-Printing Writing Pap,5/7/2019,144.72
13349,2019,11,DEPT OF EDUCATION,Operations Support,WB MASON,Stationery-Office Supplies-Printing Writing Pap,5/21/2019,192.96
13350,2019,11,DEPT OF EDUCATION,Operations Support,DIRECTORY WIZARDS INC,Computer Software Stores,5/9/2019,2146.75
13351,2019,11,DEPT OF EDUCATION,Office of Early Learning,SQ *BOUBACAR WANE T,Other Services Not Elsewhere Classified,4/30/2019,29.9
13352,2019,11,DEPT OF EDUCATION,Office of Early Learning,THE RK CULINARY GROUP LLC,Eating Places Restaurants,5/1/2019,10.0
13353,2019,11,DEPT OF EDUCATION,Office of Early Learning,LUCIANO RIVERCENTER,Fast Food Restaurants,5/1/2019,9.73
13354,2019,11,DEPT OF EDUCATION,Office of Early Learning,SQ *DIPLOMAT-CAB214SAT,Travel,5/2/2019,26.0
13355,2019,11,DEPT OF EDUCATION,Office of Early Learning,CHARLEYS PHILLY STEAKS 20,Eating Places Restaurants,5/1/2019,5.43
13356,2019,11,DEPT OF EDUCATION,Office of Early Learning,EMBASSY SUITE OHARE,Lodging,5/3/2019,5.97
13357,2019,11,DEPT OF EDUCATION,Office of Early Learning,DELTA AIR 0067356806704,Airline,5/2/2019,315.2
13358,2019,11,DEPT OF EDUCATION,Office of Early Learning,AMERICAN AIR0017356806702,Airline,5/2/2019,394.99
13359,2019,11,DEPT OF EDUCATION,Office of Early Learning,THE REPUBLIC OF TEXAS RES,Eating Places Restaurants,5/2/2019,11.92
13360,2019,11,DEPT OF EDUCATION,Office of Early Learning,LA QUINTA INNS 0501,Lodging,5/2/2019,434.24
13361,2019,11,DEPT OF EDUCATION,Office of Early Learning,TOWER AMERICAS REST,Eating Places Restaurants,5/1/2019,24.9
13362,2019,11,DEPT OF EDUCATION,Office of Early Learning,LA QUINTA FBINN90501,Lodging,4/30/2019,21.11
13363,2019,11,DEPT OF EDUCATION,Office of Early Learning,RUTH'S CHRIS STEAK HOUSE,Eating Places Restaurants,5/1/2019,41.04
